Segundos, R, G, B
3.13333333333333, 206.107267011871, 211.270363350563,216.777440828198
3.16666666666667, 206.137823594711, 211.235706360914,216.705108172876
3.2, 206.018648298854, 211.155385539906,216.408746301582
3.23333333333333, 206.159083764835, 211.137583210026,216.477736686196
3.26666666666667, 206.098562315127, 211.086677144939,216.306453402173
3.3, 206.127593380217, 211.074080066538,216.242469489451
3.33333333333333, 206.014908468971, 211.004294563579,215.982992788272
3.36666666666667, 206.200152551812, 210.990333764761,216.058713942113
3.4, 206.155223742638, 210.971001294348,215.89210891253
3.43333333333333, 206.186755732288, 210.94983820263,215.835905140341
3.46666666666667, 206.078767566606, 210.898474482215,215.564228919936
3.5, 206.210618528139, 210.851853735175,215.624186390345
3.53333333333333, 206.14776719678, 210.802921597597,215.435197854844
